model,image_id,fae_method,metric,score,error
squeezenet,ISIC_0012356,gradcam,model_parameter_randomisation,,nan
squeezenet,ISIC_0012356,gradcam,random_logit,0.5589235385506388,
squeezenet,ISIC_0012356,gradcam,completeness,,nan
squeezenet,ISIC_0012356,gradcam,non_sensitivity,,nan
squeezenet,ISIC_0012356,deep_lift,faithfulness_correlation,0.033633340150117874,
squeezenet,ISIC_0012356,deep_lift,pixel_flipping,58.39974594116211,
squeezenet,ISIC_0012356,deep_lift,max_sensitivity,1.4904453754425049,
squeezenet,ISIC_0012356,deep_lift,avg_sensitivity,1.433253812789917,
squeezenet,ISIC_0012356,deep_lift,relevance_mass_accuracy,0.09848332405090332,
squeezenet,ISIC_0012356,deep_lift,pointing_game,0.0,
squeezenet,ISIC_0012356,deep_lift,sparseness,0.7634549061287899,
squeezenet,ISIC_0012356,deep_lift,complexity,10.593398094177246,
squeezenet,ISIC_0012356,deep_lift,model_parameter_randomisation,,nan
squeezenet,ISIC_0012356,deep_lift,random_logit,0.7133549547908723,
squeezenet,ISIC_0012356,deep_lift,completeness,0.0,
squeezenet,ISIC_0012356,deep_lift,non_sensitivity,,nan
squeezenet,ISIC_0012356,guided_backprop,faithfulness_correlation,0.022931870073080063,
squeezenet,ISIC_0012356,guided_backprop,pixel_flipping,76.36090087890625,
squeezenet,ISIC_0012356,guided_backprop,max_sensitivity,1.3072220087051392,
squeezenet,ISIC_0012356,guided_backprop,avg_sensitivity,1.2726153492927552,
squeezenet,ISIC_0012356,guided_backprop,relevance_mass_accuracy,0.12289255112409592,
squeezenet,ISIC_0012356,guided_backprop,pointing_game,0.0,
squeezenet,ISIC_0012356,guided_backprop,sparseness,0.670013213271609,
squeezenet,ISIC_0012356,guided_backprop,complexity,11.043721199035645,
squeezenet,ISIC_0012356,guided_backprop,model_parameter_randomisation,,nan
squeezenet,ISIC_0012356,guided_backprop,random_logit,0.7383077464254221,
squeezenet,ISIC_0012356,guided_backprop,completeness,,nan
squeezenet,ISIC_0012356,guided_backprop,non_sensitivity,,nan
squeezenet,ISIC_0012356,lrp,faithfulness_correlation,-0.17876960337162018,
squeezenet,ISIC_0012356,lrp,pixel_flipping,38.36965560913086,
squeezenet,ISIC_0012356,lrp,max_sensitivity,1.4975978136062622,
squeezenet,ISIC_0012356,lrp,avg_sensitivity,1.3937128186225891,
squeezenet,ISIC_0012356,lrp,relevance_mass_accuracy,-0.28435125946998596,
squeezenet,ISIC_0012356,lrp,pointing_game,0.0,
squeezenet,ISIC_0012356,lrp,sparseness,0.6716631886646722,
squeezenet,ISIC_0012356,lrp,complexity,11.071085929870605,
squeezenet,ISIC_0012356,lrp,model_parameter_randomisation,,nan
squeezenet,ISIC_0012356,lrp,random_logit,0.5315385133566036,
squeezenet,ISIC_0012356,lrp,completeness,0.0,
squeezenet,ISIC_0012356,lrp,non_sensitivity,,nan
squeezenet,ISIC_0012356,occlusion,faithfulness_correlation,-0.02222663164138794,
squeezenet,ISIC_0012356,occlusion,pixel_flipping,92.84732055664062,
squeezenet,ISIC_0012356,occlusion,max_sensitivity,0.827940046787262,
squeezenet,ISIC_0012356,occlusion,avg_sensitivity,0.762462192773819,
squeezenet,ISIC_0012356,occlusion,relevance_mass_accuracy,0.758223831653595,
squeezenet,ISIC_0012356,occlusion,pointing_game,0.0,
squeezenet,ISIC_0012356,occlusion,sparseness,0.3831635400312104,
squeezenet,ISIC_0012356,occlusion,complexity,11.679777145385742,
squeezenet,ISIC_0012356,occlusion,model_parameter_randomisation,,nan
squeezenet,ISIC_0012356,occlusion,random_logit,0.290046942807872,
squeezenet,ISIC_0012356,occlusion,completeness,,nan
squeezenet,ISIC_0012356,occlusion,non_sensitivity,,nan
resnet18,ISIC_0012369,integrated_gradients,faithfulness_correlation,0.04656923562288284,
resnet18,ISIC_0012369,integrated_gradients,pixel_flipping,469.84136962890625,
resnet18,ISIC_0012369,integrated_gradients,max_sensitivity,1.2906992435455322,
resnet18,ISIC_0012369,integrated_gradients,avg_sensitivity,1.2407607793807984,
resnet18,ISIC_0012369,integrated_gradients,relevance_mass_accuracy,-0.9709773063659668,
resnet18,ISIC_0012369,integrated_gradients,pointing_game,1.0,
resnet18,ISIC_0012369,integrated_gradients,sparseness,0.6299413407184729,
resnet18,ISIC_0012369,integrated_gradients,complexity,11.189882278442383,
resnet18,ISIC_0012369,integrated_gradients,model_parameter_randomisation,,nan
resnet18,ISIC_0012369,integrated_gradients,random_logit,0.6625078740802187,
resnet18,ISIC_0012369,integrated_gradients,completeness,0.0,
resnet18,ISIC_0012369,integrated_gradients,non_sensitivity,,nan
resnet18,ISIC_0012369,saliency,faithfulness_correlation,0.15534716844558716,
resnet18,ISIC_0012369,saliency,pixel_flipping,413.9095458984375,
resnet18,ISIC_0012369,saliency,max_sensitivity,0.8557593822479248,
resnet18,ISIC_0012369,saliency,avg_sensitivity,0.8439556896686554,
resnet18,ISIC_0012369,saliency,relevance_mass_accuracy,0.3010196089744568,
resnet18,ISIC_0012369,saliency,pointing_game,1.0,
resnet18,ISIC_0012369,saliency,sparseness,0.5571767368336048,
resnet18,ISIC_0012369,saliency,complexity,11.367463111877441,
resnet18,ISIC_0012369,saliency,model_parameter_randomisation,,nan
resnet18,ISIC_0012369,saliency,random_logit,0.5649825591543034,
resnet18,ISIC_0012369,saliency,completeness,,nan
resnet18,ISIC_0012369,saliency,non_sensitivity,,nan
resnet18,ISIC_0012369,gradcam,faithfulness_correlation,0.3760160207748413,
resnet18,ISIC_0012369,gradcam,pixel_flipping,538.824951171875,
resnet18,ISIC_0012369,gradcam,max_sensitivity,0.479303777217865,
resnet18,ISIC_0012369,gradcam,avg_sensitivity,0.4278647005558014,
resnet18,ISIC_0012369,gradcam,relevance_mass_accuracy,0.36918237805366516,
resnet18,ISIC_0012369,gradcam,pointing_game,1.0,
resnet18,ISIC_0012369,gradcam,sparseness,0.5347990086198748,
resnet18,ISIC_0012369,gradcam,complexity,11.44396686553955,
resnet18,ISIC_0012369,gradcam,model_parameter_randomisation,,nan
resnet18,ISIC_0012369,gradcam,random_logit,0.5261871613238142,
resnet18,ISIC_0012369,gradcam,completeness,,nan
resnet18,ISIC_0012369,gradcam,non_sensitivity,,nan
resnet18,ISIC_0012369,deep_lift,faithfulness_correlation,-0.0033677828032523394,
resnet18,ISIC_0012369,deep_lift,pixel_flipping,364.19036865234375,
resnet18,ISIC_0012369,deep_lift,max_sensitivity,1.219057321548462,
resnet18,ISIC_0012369,deep_lift,avg_sensitivity,1.1390111327171326,
resnet18,ISIC_0012369,deep_lift,relevance_mass_accuracy,2.6789565086364746,
resnet18,ISIC_0012369,deep_lift,pointing_game,0.0,
resnet18,ISIC_0012369,deep_lift,sparseness,0.6276895450194881,
resnet18,ISIC_0012369,deep_lift,complexity,11.187285423278809,
resnet18,ISIC_0012369,deep_lift,model_parameter_randomisation,,nan
resnet18,ISIC_0012369,deep_lift,random_logit,0.6665961704590453,
resnet18,ISIC_0012369,deep_lift,completeness,0.0,
resnet18,ISIC_0012369,deep_lift,non_sensitivity,,nan
resnet18,ISIC_0012369,guided_backprop,faithfulness_correlation,0.021187985315918922,
resnet18,ISIC_0012369,guided_backprop,pixel_flipping,371.274658203125,
resnet18,ISIC_0012369,guided_backprop,max_sensitivity,1.3008215427398682,
resnet18,ISIC_0012369,guided_backprop,avg_sensitivity,1.2290790319442748,
resnet18,ISIC_0012369,guided_backprop,relevance_mass_accuracy,0.3622647225856781,
resnet18,ISIC_0012369,guided_backprop,pointing_game,1.0,
resnet18,ISIC_0012369,guided_backprop,sparseness,0.7068223491220015,
